document_id,views,full_reads_percent,depth
61f9569a9a794794245a82abJ0AvX96vTAaQCiWVbzoMdw,8843.968165590872,51.13340098246564,1.2304579191912617
628c22b89a79470e553f594bQS5CqzXYRnmDdR2LaSreEw,5269.721387686878,31.37452635831681,1.0575780018463
627cb3249a7947ebdd752865XVsoyrUOT8OJJg2_finJhw,10192.484450534785,30.392061567721072,1.0589776074903776
628618629a7947d4927eb812upfii3whSSuMXCqcqF8VbQ,6904.394856592338,39.83563083324182,1.0613114735346452
620e76109a7947235623695b5hzCiIHdSYKQIr8WAM18bw,93505.2976509607,27.228396027099034,1.1278202026610897
6267e9d39a79470f677fb6fajv_4Eb5ZQtip4IbvDqDuKw,21881.818858648654,27.687309417958588,1.0392537228800458
624925809a79476c4461de30m1RFLN6XSPyEGdKhDO5nyA,60194.44179184298,32.4493143968382,1.1437379930794915
6239e4a39a7947e926f82194t8mN2pE6R4mAGowkxvegNw,91901.94294663986,18.5088083878024,1.1338974828127337
628a1a4e9a794771555c208bICJ13mlxTMehQcRuqtV6YA,3545.199065354767,39.984953245372765,1.0730275088739745
626a5b0a9a7947627960acd0TdQDl3OoSMO5YuE7-m19eQ,2399.9662108251046,33.28758332876993,1.0442614317953802
62528e479a7947535bdc6788c7U4L8VHQpuUFFaNED_q6g,12381.449598698535,36.06563713347571,1.072896709278348
62612fe59a794783a68ada9e3TF3JpJGQJClbuUHy44UYw,24134.673885640845,35.99222846177144,1.0512081164840337
628cd9159a7947555da62ab1-m51bvtFS_yzCf2pq7lLQQ,8373.990011977492,28.86029842516844,1.0600839971843197
626e410e9a79471452f15e8eZ_d1-CbUQX2PIBrowzH5OQ,12562.801904334441,21.721966128128653,1.062105563096089
624e87269a79479dd1977cc3v9cI_OAYQ8-5gqePHxVMpw,82507.39498828501,31.382869827051667,1.1286414352216205
628b8ab29a7947e00f67dcdaNlcWeEm_RlanbLAGB-qShw,32542.310160578356,28.60210923463863,1.0529459762254294
628ccf899a79474f5151d0c3HZKtUGp9SHiIpympsFuOrw,6872.659606691005,25.307674094420644,1.0622590509030088
6249f7529a79479eb947fa1ehoBzMDQFT6mqValZu1Nr6g,20267.59953303366,42.02731950739071,1.1613202267134162
6203bbc19a7947fb724902a8BhjQOV86Qa6ER9s4eK4Mpw,19091.844892810535,26.178032730169065,1.1359249425486488
620e3f2a9a7947868328f19f5hzCiIHdSYKQIr8WAM18bw,22055.601157799723,22.06006022841459,1.1318950332834634
620d18729a7947215abb84989JBgpzWFSNiMniLAH8SZaQ,24603.030537742667,26.332463916460664,1.1287165877915788
62937ab39a79475bb0821d13J6FV1xLkRbah3nyuod_sYw,3457.3932435790157,31.403744014205916,1.042871705442604
623c39239a79472f1993960eMljwbh4gQuKeIA6eblcfGQ,111847.60752344283,23.805141432623525,1.1358847585987608
620f3e089a79475b34ade039KtVJsteHStO5oditt3Uvzw,28287.6477313802,28.02525028096616,1.1325853206769372
6202a73f9a79479b15f9b967g4_nokAoRvaMeR66cEHVXg,49063.14301529186,27.802987973192426,1.1295988566892683
62051c4d9a79477c4a88100dvDi5_j0PQVCaKj2UJf9_gw,28874.028226590453,31.422355449939047,1.152133996433304
620dfa929a79476189b0d2c4ZnPUfntARbaIIPZcQcvL1A,7449.424948755813,36.89477645276833,1.1545786594883596
620223d99a7947592e5b2287uc9l9VjjTuW6KZZBme45rg,9280.619590369739,49.82095230804915,1.2323371567187285
